"Source Url","Date","Walled_Id","Ammount_Diff","Amount","Transaction","Ammount_Diff 2"
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-18 03:38:26","192fa877e181ed70","+0.02241055","0.78902975","7e979a927668772ca03ecba7af9594b48e7d8dfe8403f4ee423763a03f32df7d",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-18 02:55:29","ba39edb0693e84ab","+0.00372219","0.7666192","dbd874ccbe6d437099ffeb72c7b8e725fadf110c73e78b3ff3a862686e8f46f6",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-17 22:45:50","113d1c70dbc67590","+0.00966858","0.76289701","850f48ea8a22c297a740ffc7698f0d711f9f45ec34451a94a424a7db161caaa4",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-17 18:09:37","2305436ce01e73d5","+0.0045","0.75322843","2618ae5c99249b1a0724ed632f1ee0f3d99279ba9d01a639f08d8c0201622aa9",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-17 15:31:37","76871f56c421be14","+0.09940669","0.74872843","22db2dbd302496a961aaf8c48cc36c4aee659eb9be46034e1744d36888d4d77f",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-17 15:21:38","3c5c08449c6ddddb","+0.01235611","0.64932174","889472edbf2da4d4e243e1105591e7e3df7e5c4d0baedc8d755bae191685e2db",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-16 22:01:36","6ec89838a312f2fd","+0.00876056","0.63696563","e46d890dc2d7be4c9aded3120534764d9b6de93f30069fb0599180ad13161e34",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-16 14:22:49","37715a4f54cd3949","+0.013","0.62820507","5048bcee2d8383e0d38baaada646f419a95531cb03a5faa5f69a794fe209fc8b",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-16 11:48:04","383fbb11323c17a4","+0.0027","0.61520507","75eb3279dbc2bc60998ff90c6c6bc5ad57e62f8689703ab48b76cd416ddfe54d",""
"https://www.walletexplorer.com/wallet/b27830c2950c3604?from_address=1Fd8RuZqJNG4v56rPD1v6rgYptwnHeJRWs","2019-03-16 10:23:42","024d90adf36ef58f","+0.029","0.61250507","e2e91c9cac713bce9920c775d423cf82e4de7baeca20baca8726decbe6bcac4d",""
